section,item,component,efficiency,w,cost,investment_chf_per_kw,capex,opex,lifetime,cycle_no,power,capacity,pavg_per_pp,reference
SYN. FUEL,Fermentation,transform,0.45,0.1,0.2963757870837403,17043.778422803476,14600.0,1460.0,15.0,,1.0,,1.0,
SYN. FUEL,Pyrolysis,transform,0.84,0.0003461538461538462,0.015,587.1044940027878,480.0,29.0,20.0,,1.0,,1.0,
SYN. FUEL,Cracking,transform,0.95,,0.015,1741.3469694427158,1300.0,130.0,30.0,,1.0,,1.0,
SYN. FUEL,Oligomerisation,transform,0.95,,0.015,1741.3469694427158,1300.0,130.0,30.0,,1.0,,1.0,
SYN. FUEL,Steam reforming,transform,0.95,,0.015,1741.3469694427158,1300.0,130.0,30.0,,1.0,,1.0,
SYN. FUEL,Dry reforming,transform,0.95,0.0686,0.015,1741.3469694427158,1300.0,130.0,30.0,,1.0,,1.0,
SYN. FUEL,Refining,transform,0.95,,0.015,1741.3469694427158,1300.0,130.0,30.0,,1.0,,1.0,
SYN. FUEL,Fuel Tank,storage,0.99,,5.33675385939678e-07,0.18347015437587116,0.15,0.0015,20.0,20.0,,20000.0,1.0,
SYN. FUEL,Fuel Taransport,transport,0.99,,1.067350771879356e-05,3.669403087517424,3.0,0.03,20.0,20.0,,20000.0,0.1,
SYN. FUEL,Fueling Station,storage,1.0,,0.0006176310359611142,81.54229083372053,66.66666666666667,1.3333333333333335,20.0,,1.0,,1.0,
SYN. FUEL,Fuel Tank mob.,storage,1.0,,1.5583310403397573e-08,0.0010920783930701019,0.001,,8.0,,1.0,,1.0,
SYN. FUEL,ICE,transform,0.3,,0.015052376623331786,98.28705537630917,90.0,0.9,8.0,,1.0,,0.1,
SYN. FUEL,Transmission,transport,0.95,,0.11676470539045505,98.28705537630917,90.0,90.0,8.0,,1.0,,0.1,
SYN. FUEL,Steam generator,transform,1.0,,0.0004873747816800712,73.38806175034847,60.0,0.6,20.0,,1.0,,1.0,
SYN. FUEL,Gas Turbine,transform,0.3,,0.0019513903313394618,141.88358605067373,116.0,10.0,20.0,,1.0,,1.0,
SYN. FUEL,Methanol reactor,transform,0.8528,,0.027962785262023615,3466.6199668598065,2588.0,129.4,30.0,,1.0,,1.0,
SYN. FUEL,Water condensation,transform,0.95,,0.0025378246147326573,244.62687250116159,200.0,10.0,20.0,,1.0,,1.0,
SYN. FUEL,Methanol condensation,transform,0.9,,0.0025378246147326573,244.62687250116159,200.0,10.0,20.0,,1.0,,1.0,
SYN. FUEL,"H2, CO2 compression",transform,0.95,,0.010625383454639863,611.567181252904,500.0,62.5,20.0,,1.0,,1.0,
SYN. FUEL,Methanol Tank,storage,0.99,,4.774339007271299e-06,1.5911604851848287,1.0,0.01,50.0,,1.0,,1.0,
Methane,Sabatier reaction,transform,0.78,,0.015,733.8806175034847,600.0,60.0,20.0,,1.0,,1.0,
Methane,Methane compression,transform,0.97,0.1,0.006375230072783918,366.94030875174235,300.0,37.5,20.0,,1.0,,1.0,
